Points,Longitude,Latitude,Tupp,CHcrit,tearly,tmean,tlate,cctr,RAFUmin,RAFUmean,RAFUmax
Grid 3,128,47,2,76.5142857142857,40,52.7916666666667,67,27,0,2.33350694444444,18.1583333333333
Grid 3,128,47,4,104.466666666667,39,50.5555555555556,62,23,0,3.63125,27.5041666666667
Grid 3,128,47,6,137.545454545455,37,48.5694444444444,60,23,0,5.39820601851852,30.0708333333333
Grid 3,128,47,8,168.523076923077,36,45.9305555555556,53,17,0,8.12013888888889,33.0416666666667
Grid 3,128,47,10,199.006666666667,34,43.1388888888889,50,16,0,11.5537037037037,47.5208333333333
Grid 3,128,47,12,213.541176470588,32,38.7222222222222,46,14,0,20.2431712962963,90.0291666666667
Grid 3,128,47,14,230.842105263158,28,34.8194444444444,42,14,0.245833333333334,30.9248263888889,111.433333333333
Grid 3,128,47,16,253.657142857143,23,31.4722222222222,37,14,6.7125,41.9516203703704,137.558333333333
Grid 3,128,47,18,279.765217391304,20,28.8888888888889,35,15,14.2916666666667,52.6247106481482,145.758333333333
Grid 3,128,47,20,307.756,19,26.9861111111111,33,14,15.3875,61.1316550925926,152.920833333333
