Points,Longitude,Latitude,Tupp,CHcrit,tearly,tmean,tlate,cctr,RAFUmin,RAFUmean,RAFUmax
Grid 16,116,27.5,2,6.91428571428572,80,106.388888888889,152,72,0,47.8046957671958,184.675
Grid 16,116,27.5,4,34.5888888888889,81,109.930555555556,151,70,0,41.2977401129943,174.895833333333
Grid 16,116,27.5,6,100.718181818182,87,116.208333333333,144,57,0,23.4675314465409,133.75
Grid 16,116,27.5,8,202.307692307692,101,119.444444444444,142,41,0,18.890988372093,86.0625
Grid 16,116,27.5,10,300.34,102,119.291666666667,135,33,0,16.3972868217054,83.3458333333333
Grid 16,116,27.5,12,412.376470588235,105,118.875,131,26,0,14.1778645833333,75.0458333333333
Grid 16,116,27.5,14,524.968421052632,104,117.847222222222,130,26,0,14.4844339622642,67.3333333333333
Grid 16,116,27.5,16,602.104761904762,101,114.333333333333,126,25,0,19.5747512437811,75.0458333333333
Grid 16,116,27.5,18,691.473913043478,99,111.333333333333,121,22,0,25.8411458333333,76.6041666666667
Grid 16,116,27.5,20,787.068,97,108.416666666667,120,23,0,34.6028356481481,92.5083333333333
