Points,Longitude,Latitude,Tupp,CHcrit,tearly,tmean,tlate,cctr,RAFUmin,RAFUmean,RAFUmax
Grid 14,116,30.5,2,28.3,79,111.833333333333,151,72,0,15.6044696969697,92.5
Grid 14,116,30.5,4,106.477777777778,97,118.763888888889,144,47,0,8.81398148148148,66.1125
Grid 14,116,30.5,6,198.672727272727,102,119.555555555556,137,35,0,8.12668650793651,61.9916666666667
Grid 14,116,30.5,8,320.123076923077,105,120.708333333333,136,31,0,6.62759009009009,58.7375
Grid 14,116,30.5,10,463.08,109,122.069444444444,133,24,0,4.12370689655172,23.625
Grid 14,116,30.5,12,581.435294117647,109,121.013888888889,131,22,0,4.0593201754386,24.325
Grid 14,116,30.5,14,639.684210526316,105,116.111111111111,130,25,0,6.83319672131147,37.8791666666667
Grid 14,116,30.5,16,704.171428571429,100,111.541666666667,126,26,0,11.112265258216,46.7875
Grid 14,116,30.5,18,767.239130434783,95,106.847222222222,122,27,0,17.5807511737089,55.6916666666667
Grid 14,116,30.5,20,828.04,89,101.486111111111,116,27,0,26.1189236111111,75.2208333333333
