Points,Longitude,Latitude,Tupp,CHcrit,tearly,tmean,tlate,cctr,RAFUmin,RAFUmean,RAFUmax
Grid 13,116,32,2,95.3714285714286,98,119.638888888889,143,45,0,3.83907407407407,50.0458333333333
Grid 13,116,32,4,174.366666666667,97,119.888888888889,138,41,0,4.03302083333333,48.7875
Grid 13,116,32,6,260.654545454545,96,118.888888888889,134,38,0,3.9452380952381,47.7791666666667
Grid 13,116,32,8,392,105,121.013888888889,132,27,0,2.67341954022989,17.5291666666667
Grid 13,116,32,10,442.093333333333,100,115.75,126,26,0,3.74337431693989,31.5416666666667
Grid 13,116,32,12,479.8,99,110.180555555556,124,25,0,7.02793427230047,45.8541666666667
Grid 13,116,32,14,528.331578947368,96,105.569444444444,118,22,0,11.2055555555556,48.45
Grid 13,116,32,16,585.166666666667,90,101.236111111111,115,25,0,15.7345486111111,52.9208333333333
Grid 13,116,32,18,643.282608695652,85,96.8194444444445,110,25,0,23.7481481481482,66.0833333333333
Grid 13,116,32,20,705.096,81,92.1111111111111,102,21,4.225,33.2817708333333,99.3791666666667
