Points,Longitude,Latitude,Tupp,CHcrit,tearly,tmean,tlate,cctr,RAFUmin,RAFUmean,RAFUmax
Grid 6,123,42.5,2,102.228571428571,61,74.2916666666667,87,26,0,1.87673611111111,17.5083333333333
Grid 6,123,42.5,4,118.344444444444,59,69,77,18,0,4.61631944444444,28.0083333333333
Grid 6,123,42.5,6,136.745454545455,56,64.4722222222222,72,16,0,8.08269675925926,37.0666666666667
Grid 6,123,42.5,8,157.561538461538,51,60.6527777777778,68,17,0,12.7529513888889,53.5458333333333
Grid 6,123,42.5,10,180.52,48,56.8888888888889,65,17,0,20.5561921296296,71.9125
Grid 6,123,42.5,12,205.423529411765,46,53.3611111111111,62,16,0.883333333333334,28.8252893518519,71.9125
Grid 6,123,42.5,14,240.394736842105,44,50.3472222222222,58,14,0.883333333333334,39.187037037037,71.9583333333334
Grid 6,123,42.5,16,278.661904761905,40,47.4722222222222,56,16,0.883333333333334,49.6924189814815,113.6625
Grid 6,123,42.5,18,320.586956521739,37,44.7916666666667,54,17,0.883333333333334,59.9503472222222,117.1125
Grid 6,123,42.5,20,367.148,35,42.3333333333333,50,15,4.52083333333333,72.5450810185185,135.541666666667
